GMLId;ParentGMLId;Latitude;Longitude;X-coordinate;Y-coordinate;LOD;Year of construction;Year of refurbishment;Refurbishment Variant;ALKIS code;PrimaryUsageZoneType;PrimaryUsageZoneArea;SecondaryUsageZoneType;SecondaryUsageZoneArea;BuildingType;Footprint area;Total wall thermal area above ground;Total wall thermal area below ground;Total outwall area;Total sharedwall area;Total roof area;Gross volume;Is Gross volume approximated?;Heated volume;Ridge/mean Height;Eaves/mean Height;Storey number;Average Storey Height;Number of households;Number of occupants;Attic Heating;Basement Heating;Basement ceiling height above ground;Surface area to volume ratio;Heated area;Mean Uvalue;Specific domestic hot water demand;Specific space heating demand;Total Yearly Heat+DHW demand;January Heating Demand;February Heating Demand;March Heating Demand;April Heating Demand;May Heating Demand;June Heating Demand;July Heating Demand;August Heating Demand;September Heating Demand;October Heating Demand;November Heating Demand;December Heating Demand
[-];[-];[°];[°];[?];[?];LOD;[YYYY];[YYYY];[-];[-];[-];[m²];[-];[m²];[-];[m²];[m²];[m²];[m²];[m²];[m²];[m³];[0/1];[m³];[m];[m];[-];[m];[-];[-];[-];[-];[m];[m⁻¹];[m²];[W/(m²·K)];[kWh/(m²·a)];[kWh/(m²·a)];[kWh/a];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh]
DEBE3D04YY50000E2k;;52,52360;13,31401;385615,21;5820613,15;LOD2;1905;;Original;2120;industry;630,4;none;0,0;RH;241,3;433,6;0,0;433,6;79,8;241,3;1970,0;false;1970,0;8,2;8,16;3;2,7;0;0;NO_ROOM;NO_ROOM;0,0;0,465;630,4;1,28;32,9;54,1;54827;9418;7309;3976;222;0;0;0;0;0;628;4598;7961
DEBE3D04YY50000KQ3;;52,52185;13,31018;385351,22;5820423,98;LOD2;2013;;Original;2120;industry;1033,8;none;0,0;MFH;332,9;771,5;0,0;771,5;258,8;345,4;3410,2;false;3230,5;11,3;11,34;4;2,7;0;0;NO_ROOM;NOT_HEATED;0,5;0,425;1033,8;0,39;32,9;9,0;43274;3216;2222;626;7;0;0;0;0;0;30;841;2363
DEBE3D04YY50000Pzz;;52,52632;13,30812;385223,15;5820924,82;LOD2;1900;;Original;2120;industry;838,2;none;0,0;RH;361,5;477,9;0,0;478,0;115,1;364,4;2619,5;false;2619,5;8,1;8,07;3;2,7;0;0;NO_ROOM;NO_ROOM;0,0;0,460;838,2;1,18;32,9;49,9;69412;11556;9022;4831;230;0;0;0;0;0;759;5687;9784
DEBE3D04YY50000OjQ;;52,52625;13,30838;385240,38;5820916,28;LOD2;1900;;Original;2120;industry;404,3;none;0,0;RH;249,2;277,9;0,0;277,9;58,0;249,2;1263,3;false;1263,3;5,1;5,07;2;2,5;0;0;NO_ROOM;NO_ROOM;0,0;0,615;404,3;1,13;32,9;65,2;39658;7183;5605;3172;200;0;0;0;0;0;541;3591;6082
DEBE3D04YY50000Cax;;52,52383;13,31426;385632,77;5820637,86;LOD2;1905;;Original;2143;non-heated;832,3;none;0,0;RH;464,0;434,4;0,0;434,4;105,1;464,0;2600,9;false;2600,9;5,6;5,61;2;2,8;0;0;NO_ROOM;NO_ROOM;0,0;0,524;832,3;1,08;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBE3D04YY50000HXT;;52,52192;13,31006;385342,77;5820432,63;LOD2;2013;;Original;2120;industry;444,9;none;0,0;RH;291,8;280,5;0,0;280,5;215,8;292,9;1625,2;false;1390,3;5,9;5,91;2;2,6;0;0;NO_ROOM;NOT_HEATED;0,8;0,532;444,9;0,39;32,9;14,8;21204;2115;1498;515;11;0;0;0;0;0;41;726;1679
DEBE3D04YY500001JV;;52,52602;13,30942;385310,60;5820889,32;LOD2;1900;;Original;1010;residential;5462,5;none;0,0;GMH;762,8;3386,7;0,0;3393,1;65,1;762,8;17070,3;false;17070,3;22,4;22,38;8;2,8;88;131;NO_ROOM;NO_ROOM;0,0;0,288;5462,5;1,64;15,8;88,4;569520;112391;90785;63087;12384;461;0;0;0;500;29570;72528;101289
DEBE3D04YY5000087h;;52,52444;13,30834;385232,97;5820715,50;LOD2;1955;;Original;1010;residential;1417,0;none;0,0;GMH;268,4;977,5;0,0;977,5;195,0;268,4;4524,3;false;4428,0;16,9;16,86;6;2,8;23;34;NO_ROOM;NOT_HEATED;0,4;0,335;1417,0;1,53;15,8;105,4;171724;32807;26969;20294;6347;699;2;0;0;637;10298;21634;29592
DEBE3D04YY50000GVc;;52,52170;13,31040;385365,32;5820407,50;LOD2;2013;;Original;2612;non-heated;95,5;none;0,0;EFH;52,3;125,8;0,0;125,9;0,0;52,3;225,5;false;225,5;4,3;4,32;2;2,2;0;0;NO_ROOM;NO_ROOM;0,0;1,021;95,5;0,42;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBE3D04YY50000OVV;;52,52443;13,30869;385256,42;5820714,12;LOD2;1955;;Original;1010;residential;1525,5;none;0,0;GMH;288,9;1019,5;0,0;1040,4;194,7;288,9;4963,4;false;4767,2;17,2;17,18;6;2,8;24;44;NO_ROOM;NOT_HEATED;0,7;0,326;1525,5;1,53;15,8;103,9;182706;34839;28653;21649;6699;737;2;0;0;696;10969;22944;31355
DEBE3D04YY50000654;;52,52289;13,31301;385545,70;5820534,92;LOD2;2013;;Original;2140;hall;3673,8;none;0,0;GMH;800,2;1336,0;0,0;1384,1;0,0;818,0;11848,7;false;11480,6;16,2;13,38;6;2,6;0;0;HEATED;NOT_HEATED;0,5;0,253;3673,8;0,77;non calculated;77,7;285357;55723;46710;38456;16816;4291;174;0;85;6064;25255;40382;51401
DEBE3D04YY50000HI4;;52,52534;13,30506;385012,91;5820821,11;LOD2;1900;;Original;2463;non-heated;7,9;none;0,0;EFH;8,4;16,3;0,0;16,4;0,0;8,4;11,6;true;11,6;1,4;1,38;1;1,4;0;0;NO_ROOM;NO_ROOM;0,0;2,861;7,9;1,29;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBE3D04YY50000Dc4;;52,52138;13,31226;385490,80;5820368,76;LOD2;2013;;Original;2523;industry;130,1;none;0,0;EFH;69,1;143,0;0,0;143,1;0,0;70,5;306,4;false;266,3;4,9;3,78;2;1,9;0;0;NOT_HEATED;NO_ROOM;0,0;0,922;130,1;0,40;32,9;12,9;5953;588;366;83;1;0;0;0;0;0;6;172;461
DEBE3D04YY50000Dno;;52,52197;13,31326;385559,95;5820433,20;LOD2;2013;;Original;2140;hall;1444,5;none;0,0;MFH;444,2;798,8;0,0;874,6;0,0;454,6;5540,9;false;5096,8;13,4;11,33;4;3,1;0;0;HEATED;NOT_HEATED;1,0;0,320;1444,5;0,42;non calculated;68,2;98495;19771;16440;13196;5210;987;26;0;13;1659;8648;14279;18266
DEBE3D04YY50000Pvi;;52,52384;13,31270;385526,96;5820641,08;LOD2;1925;;Original;2143;non-heated;1344,1;none;0,0;RH;492,6;631,5;0,0;633,7;38,9;492,6;3342,7;false;3342,7;6,8;6,79;3;2,3;0;0;NO_ROOM;NO_ROOM;0,0;0,484;1344,1;1,23;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBE3D04YY500009id;;52,52395;13,31450;385649,77;5820651,15;LOD2;1905;;Original;2143;non-heated;200,7;none;0,0;EFH;120,6;239,6;0,0;252,9;34,9;120,6;665,0;false;627,3;5,5;5,51;2;2,6;0;0;NO_ROOM;NOT_HEATED;0,3;0,743;200,7;1,35;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBE3D04YY50000Pwh;;52,52131;13,31337;385566,11;5820359,47;LOD2;2013;;Original;2140;hall;1720,5;none;0,0;MFH;447,5;845,7;0,0;874,5;0,0;457,1;5541,3;false;5376,6;13,9;11,32;5;2,7;0;0;HEATED;NOT_HEATED;0,4;0,321;1720,5;0,42;non calculated;64,4;110770;21892;18275;14858;6207;1342;38;0;21;2172;9845;15889;20231
DEBE3D04YY50000RhR;;52,52476;13,30802;385211,75;5820751,43;LOD2;1900;;Original;1010;residential;1356,7;none;0,0;MFH;282,7;1037,9;0,0;1037,9;155,5;282,7;4337,2;false;4239,7;15,3;15,34;5;3,0;17;33;NO_ROOM;NOT_HEATED;0,3;0,370;1356,7;1,72;15,8;115,4;178106;35794;29084;20959;5335;296;0;0;0;235;9707;23028;32178
DEBE3D04YY50000A5T;;52,52499;13,31014;385356,65;5820773,64;LOD2;1905;;Original;1010;residential;1844,9;none;0,0;HH;277,1;1127,0;0,0;1127,0;264,7;362,5;6042,6;false;5765,5;24,5;18,92;9;2,6;34;47;HEATED;NOT_HEATED;1,0;0,292;1844,9;1,48;15,8;88,7;192937;37275;30333;21545;5169;418;2;0;0;428;10592;24323;33630
DEBE3D04YY50000B8K;;52,52475;13,30842;385239,51;5820750,10;LOD2;1900;;Original;1010;residential;1376,8;none;0,0;MFH;286,9;895,2;0,0;895,2;312,5;286,9;4423,2;false;4302,4;15,4;15,42;5;3,0;17;33;NO_ROOM;NOT_HEATED;0,4;0,332;1376,8;1,67;15,8;105,0;166394;32788;26701;19566;5301;330;0;0;0;257;9091;21118;29433
DEBE3D04YY50000QEa;;52,52356;13,31493;385677,54;5820606,46;LOD2;1905;;Original;2120;industry;314,0;none;0,0;RH;338,5;245,3;0,0;252,3;109,8;338,5;1015,6;false;981,4;3,0;3,00;1;2,9;0;0;NO_ROOM;NOT_HEATED;0,1;0,915;314,0;1,10;32,9;94,5;40013;7996;6269;3670;274;0;0;0;0;0;631;4058;6796
DEBE3D04YY50000Pv4;;52,52250;13,30643;385098,43;5820502,84;LOD2;2013;;Original;1010;residential;1724,0;none;0,0;GMH;239,5;695,1;0,0;695,1;550,7;239,5;4787,0;false;4787,0;20,0;19,99;8;2,5;28;42;NO_ROOM;NO_ROOM;0,0;0,245;1724,0;0,77;15,8;41,2;98370;16231;13381;9662;1990;71;0;0;0;101;4591;10487;14548
