======================== Summary ========================

Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2620)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2621)
Excluded 13 buildings from processing (reason: Unknown ALKIS code: 1610)
Excluded 1 buildings from processing (reason: Building volume is smaller than required (0.0 m³))
Excluded 176 buildings from processing (reason: Missing year of construction)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2000)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2540)


================ Excluded buildings lists ===============

Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2620)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000Out;345,50;114,94;385391,56400;5821013,75550;-


Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2621)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000Nti;46,19;19,05;385021,19800;5821380,46550;-


Excluded 13 buildings from processing (reason: Unknown ALKIS code: 1610)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D01YYK0003UY2;556,57;78,66;385688,54250;5821819,91400;-
DEBE3D01YYK0003U8t;181,79;43,52;385891,91500;5821919,05650;-
DEBE3D04YY50002aTH;0,66;10,12;385513,89750;5821644,34050;-
DEBE3D01YYK0002Uh3;58,31;19,90;385761,44950;5821309,06450;-
DEBE3D04YY50000Dkp;4,88;3,71;385160,70400;5821817,85850;-
DEBE3D01YYK0002VOx;575,81;211,44;385976,85700;5821584,47500;-
DEBE3D01YYK0002LMK;1902,27;209,55;385894,56450;5821051,24700;-
DEBE3D01YYK0002Lys;8,70;10,86;385754,06800;5821319,50350;-
DEBE3D04YY50000L7H;860,70;101,40;385056,79250;5821060,64750;-
DEBE3D01YYK0003UyJ;723,32;159,56;385988,50150;5821685,23150;-
DEBE3D01YYK0003TjE;3,61;51,65;385901,95850;5821089,56850;-
DEBE3D04AL2vw00010;61,46;12,21;385196,68800;5821291,13950;-
DEBE3D01YYK0003VA8;722,94;45,54;385798,39700;5821132,64850;-
DEBE3DATKB100008DC;1361,98;0,00;385618,66100;5821347,92250;-
DEBE3D04YY50002c6R;855,01;189,80;385741,60950;5821411,88900;-
DEBE3D04YY50000A1M;645,52;89,80;385031,78350;5821025,09900;-
DEBE3D04AL2vw0000z;86,68;18,54;385146,89750;5821284,44600;-
DEBE3D04AL2vw00011;68,35;12,17;385203,84100;5821258,32250;-
DEBE3D01YYK0002MpD;1519,91;179,98;385826,75900;5821081,53250;-
DEBE3D01YYK0002OKW;1,64;3,05;385842,04000;5821112,35450;-
DEBE3D01YYK0002RU6;2563,91;333,41;385951,00300;5821705,36200;-
DEBE3D04YY50002cbV;0,10;3,58;385831,76700;5821558,46100;-
DEBE3D04YY500005p2;212,51;49,74;385034,69900;5821029,98700;-
DEBE3D04YY50000Afw;1462,42;292,86;385054,00600;5821021,23650;-
DEBE3D01YYK0002O63;71669,58;7714,70;385913,14200;5821525,58350;-
DEBE3D01YYK0002SZd;188,58;36,03;385584,57350;5821646,92300;-
DEBE3D01YYK0002VGm;5176,73;246,36;385764,67450;5821254,09200;-
DEBE3D04YY50002cc9;357,09;75,74;385264,11100;5821407,65150;-
DEBE3D01YYK0003Uxc;176,77;40,47;385791,67750;5821078,23650;-
DEBE3D04YY50000JJU;492,63;106,51;385070,09700;5821031,99750;-
DEBE3D01YYK0003VYY;13697,21;1508,55;386029,93200;5821980,80400;-
DEBE3D04YY50000RJv;2619,36;299,30;385049,71950;5821040,46500;-
DEBE3D04YY50002cGN;444,22;120,75;385087,84500;5821035,13100;-
DEBE3D01YYK0002TCe;143,33;41,87;385738,50500;5821186,47850;-
DEBE3D04YY50000Iit;1180,07;206,28;385418,20400;5821339,06550;-
DEBE3D01YYK0003Ugu;43,47;8,35;385664,90500;5821893,64400;-
DEBE3D04YY50002cOH;84,76;18,54;385375,10900;5821431,84800;-
DEBE3D04YY50002c2C;83,89;18,37;385338,44150;5821423,96650;-
DEBE3D04YY50002cy1;130,70;24,33;385314,22750;5821439,20550;-
DEBE3D01YYK0003Udh;584,86;47,71;385900,00500;5821103,08000;-
DEBE3D04YY50002bfE;207,34;69,12;385015,27800;5821052,39400;-
DEBE3D01YYK0003VfA;1005,13;216,14;385988,11200;5821710,53600;-
DEBE3D00YYth00008F;750,98;108,11;385848,67050;5821653,78750;-
DEBE3D01YYK0003UVt;189,41;41,38;385739,07650;5821799,22700;-
DEBE3D04AL2vw0000u;6,75;4,26;385234,23500;5821250,76450;-
DEBE3D01YYK0003TvO;32881,51;4120,01;386001,42500;5821767,51350;-
DEBE3D01YYK0002Sbh;24848,49;3388,97;386007,46300;5821544,78750;-
DEBE3D01YYK0003UYB;289,45;88,41;385746,19600;5821178,60800;-
DEBE3D04YY50002cu4;405,22;75,84;385243,11600;5821370,00400;-
DEBE3D04YY50000DNe;179,33;59,44;385163,12400;5821782,46850;-
DEBE3D01YYK0003UUm;54,49;11,87;385711,92550;5821831,34600;-
DEBE3D04YY50000PWf;1220,85;101,64;385071,76350;5821057,50750;-
DEBE3D04YY50002cNv;647,22;201,07;385469,08350;5821481,28150;-
DEBE3D01YYK0002U63;47,22;15,36;385994,63500;5821242,69300;-
DEBE3D04YY50002be3;105,88;21,42;385657,47700;5821497,42950;-
DEBE3D01YYK0002MHZ;180,14;64,69;385720,01050;5821120,90600;-
DEBE3D04YY50002bTt;163,00;39,48;385067,05300;5821038,23100;-
DEBE3D04YY50000Dil;15935,81;853,60;385019,22400;5821100,94400;-
DEBE3D01YYK0003UfS;32,16;10,61;385753,20900;5821931,01800;-
DEBE3D01YYK0003Uag;232,40;41,01;385910,30850;5821783,55000;-
DEBE3DATKB100008VB;832,61;0,00;385044,49750;5821861,71450;-
DEBE3D01YYK0002QDa;1873,85;169,88;385774,57700;5821341,89850;-
DEBE3D04YY50002d0o;18,97;66,39;385055,53700;5821055,19000;-
DEBE3D01YYK0003VgQ;457,33;81,87;385945,57900;5821961,93750;-
DEBE3D01YYK0002PmN;6298,06;339,56;385864,87000;5821199,43450;-
DEBE3D01YYK0003TdX;1545,38;137,98;385538,39150;5821748,12250;-
DEBE3D04YY50002bjq;168,69;36,72;385393,44800;5821435,78350;-
DEBE3D01YYK0003VhZ;504,23;127,01;385764,31650;5821096,78500;-
DEBE3D01YYK0002TS9;139,78;44,79;385742,74800;5821167,98050;-
DEBE3D04YY50002bvX;40,30;7,85;385064,29600;5821024,67150;-
DEBE3D01YYK0002NKy;174,46;132,39;385991,93550;5821587,62050;-
DEBE3D00YY1Tj0002U;205,87;40,19;385010,87650;5821501,76750;-
DEBE3D01YYK0002T33;4840,84;240,39;385809,29600;5821302,53950;-
DEBE3D01YYK0003VBq;130,96;28,31;385811,60450;5821813,56950;-
DEBE3D04YY50002bqh;90,41;22,25;385190,18700;5821403,77900;-
DEBE3D04YY50002c0R;88,79;18,49;385365,89050;5821474,72000;-
DEBE3D01YYK0002QTp;908,23;204,03;385728,40450;5821185,63050;-
DEBE3D01YYK0002PJS;1161,84;60,11;385795,63950;5821307,45350;-
DEBE3D01YYK0003USK;800,56;140,00;385943,13500;5821100,86400;-
DEBE3D04YY50002c51;9,60;3,42;385655,75950;5821506,93000;-
DEBE3D01YYK0002N6M;13683,24;940,15;386015,97850;5821095,35000;-
DEBE3D01YYK0003VlC;162,70;34,02;385763,40550;5821804,00450;-
DEBE3D01YYK0002O0O;471,54;105,11;385815,35400;5821117,09050;-
DEBE3D04YY50002bbG;32,53;11,58;385127,52000;5821401,08000;-
DEBE3D04YY50000Obo;37,55;16,27;385157,00550;5821783,72250;-
DEBE3D01YYK0003V2V;20,04;107,74;385924,88250;5821484,13550;-
DEBE3D01YYK0003VVt;2024,48;451,51;385900,94950;5821568,83750;-
DEBE3D04AL54V00006;100,32;22,29;385380,70100;5821395,98600;-
DEBE3D04YY50002brW;147,85;38,28;385057,73050;5821038,79550;-
DEBE3D04YY50002cec;90,16;18,43;385380,55450;5821477,86600;-
DEBE3D01YYK0002ReM;2836,51;137,14;385789,56000;5821324,83300;-
DEBE3D01YYK0002KQX;1103,18;199,16;385956,71200;5821558,24050;-
DEBE3DATKB100008KP;2615,35;0,00;385579,92150;5821555,78700;-
DEBE3D04YY500002hN;327,19;84,06;385528,61850;5821508,88750;-
DEBE3D01YYK0003Vgh;472,64;183,01;385707,99250;5821185,40850;-
DEBE3D04AL54V00000;12225,12;1535,22;385395,26700;5821372,54400;-
DEBE3D01YYK0002Nji;4514,09;215,06;385898,10350;5821221,01500;-
DEBE3D01YYK0003V5u;27,26;4,71;385659,53250;5821890,15000;-
DEBE3D01YYK0002NJk;18,17;6,89;385857,59700;5821031,53500;-
DEBE3D01YYK0003VGP;208,49;45,55;385965,60650;5821794,33950;-
DEBE3D01YYK0003Udx;93,66;21,89;385905,50350;5821822,02300;-
DEBE3D01YYK0002Qqo;318,23;96,24;385725,04600;5821111,83400;-
DEBE3D04YY50002c0F;287,15;23,28;385005,08550;5821730,22600;-
DEBE3D00YY1Zy000DP;98,14;31,98;385687,90250;5821402,83100;-
DEBE3D00YY1Zy000Cx;3953,47;691,41;385681,59750;5821413,62350;-
DEBE3D01YYK0003VVy;12,84;5,24;385657,48250;5821758,30000;-
DEBE3D04YY50000RCt;7692,13;714,02;385261,44300;5821276,18900;-
DEBE3D01YYK0002ROe;933,41;99,18;385797,72050;5821079,84050;-
DEBE3D01YYK0003VWL;363,21;80,00;385960,39500;5821820,84450;-
DEBE3D01YYK0002SCi;482,21;70,27;385822,03650;5821139,03750;-
DEBE3DATKB100008KY;1318,83;0,00;385106,39450;5821463,18000;-


Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2000)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000EMa;167,93;56,74;385222,58200;5821156,70350;-


Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2540)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000LhN;7168,29;547,06;385167,62250;5821192,69200;-


