======================== Summary ========================

Excluded 6 buildings from processing (reason: Unknown ALKIS code: 2520)
Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2600)
Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2621)
Excluded 35 buildings from processing (reason: Unknown ALKIS code: 1610)
Excluded 192 buildings from processing (reason: Missing year of construction)
Excluded 8 buildings from processing (reason: Building seems to be too low and has 0 storey.)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2083)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 9998)
Excluded 6 buildings from processing (reason: Unknown ALKIS code: 2460)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2000)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2010)
Excluded 12 buildings from processing (reason: Unknown ALKIS code: 2142)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 1000)
Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2310)
Excluded 4 buildings from processing (reason: Unknown ALKIS code: 2200)
Excluded 4 buildings from processing (reason: Unknown ALKIS code: 2100)


================ Excluded buildings lists ===============

Excluded 6 buildings from processing (reason: Unknown ALKIS code: 2520)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000652;2670,35;173,76;385849,72350;5820132,66750;-
DEBE3D04YY50002bxG;401,42;21,84;385014,76200;5820013,81200;-
DEBE3D00YY2jv000Al;25,06;8,38;385860,57150;5820836,96350;-
DEBE3D04YY50000L96;6916,05;329,09;385109,11650;5820095,77550;-
DEBE3D04YY50000M2U;2437,55;146,48;385964,23250;5820016,93000;-
DEBE3D04YY50000EeM;8705,12;422,66;385952,07400;5820075,03050;-
DEBE3D04YY50000H8v;6274,98;372,82;385053,11150;5820238,09950;-
DEBE3D04YY50002cHv;8,27;2,28;385486,22950;5820065,72150;-
DEBE3D04YY50002cGx;66,32;15,72;385066,78650;5820901,05750;-
DEBE3D01YYK0003VAv;238,56;51,60;385989,71450;5820725,54950;-
DEBE3D04YY50002bZv;70,25;19,57;385015,10000;5820076,13600;-
DEBE3D04YY500003Jg;334,33;101,31;385806,85450;5820171,60950;-
DEBE3D04YY50002blX;16,00;4,61;385395,59400;5820070,25350;-
DEBE3D04YY50000GC4;114,82;48,36;385824,70700;5820019,78850;-
DEBE3D04YY50000Ifx;2531,24;137,57;385017,70100;5820019,27900;-
DEBE3D04YY500001Cl;5768,44;272,63;385062,03400;5820089,21350;-
DEBE3D01YYK0003UUg;17,15;9,81;385867,02950;5820953,51500;-
DEBE3D04YY50002bnv;17,14;4,34;385397,38500;5820090,82600;-
DEBE3D04YY50000I2X;947,65;203,67;385515,39700;5820770,39600;-
DEBE3D04YY50000Goq;19,92;50,62;385525,35700;5820807,61650;-
DEBE3D04YY50002cK9;158,45;6,14;385330,25150;5820225,82700;-
DEBE3D01YYK0002MSF;1392,67;145,28;385826,57800;5820551,57450;-
DEBE3D01YYK0002PpJ;882,79;288,97;385832,68300;5820388,87450;-
DEBE3D04YY50000LjO;249,97;73,78;385972,86400;5820399,77300;-
DEBE3D04YY50002blQ;45,30;2,68;385501,11300;5820057,92050;-
DEBE3D01YYK0002KKp;317,43;104,19;385756,61150;5820965,22450;-
DEBE3D04YY50002c9Y;167,19;18,93;386006,28450;5820437,03500;-
DEBE3D04YY50002c6Q;572,77;123,50;385295,82700;5820092,96750;-
DEBE3D04YY50000LRf;100,01;38,98;385656,94150;5820133,92650;-
DEBE3D04YY50002biN;53,99;2,60;385598,40300;5820108,46450;-
DEBE3D04YY50000Jom;313,67;35,71;385843,15550;5820026,69000;-
DEBE3D04YY5000087b;472,23;72,47;385428,81450;5820092,31350;-
DEBE3D00YYOb000041;1592,97;175,20;385987,16400;5820948,61650;-
DEBE3DATKB100008S2;50,94;0,00;385545,79100;5820556,28550;-
DEBE3D04YY50002bUa;30,67;7,53;385463,18100;5820189,23150;-
DEBE3D04YY50002cUr;513,48;110,81;385312,60650;5820142,05800;-
DEBE3D04YY50002bvb;113,78;37,92;385959,04650;5820383,98750;-
DEBE3D04YY50002buU;77,91;4,61;385948,95900;5820084,40550;-
DEBE3D04YY500008O4;503,01;168,86;385509,34750;5820772,59300;-
DEBE3D04YY500003mm;191,33;68,83;385547,29900;5820118,07300;-
DEBE3DATKB100008U9;329,80;0,00;385574,28200;5820446,39400;-
DEBE3D04YY50002bwM;206,33;46,18;385933,54700;5820075,60750;-
DEBE3D01YYK0002MWe;18110,82;832,95;385848,39400;5820946,27600;-
DEBE3D01YYK0003UTX;130,72;51,67;385884,47000;5820951,74850;-
DEBE3D04YY500004Lo;45762,89;1962,30;385976,28000;5820503,24600;-
DEBE3D01YYK0003VX2;15,90;5,38;385960,46300;5820801,15800;-
DEBE3D04YY50002d6T;170,29;68,77;385804,37450;5820172,96100;-
DEBE3D04YY50002c57;0,51;5,86;385713,38250;5820473,22200;-
DEBE3D04YY50000J3f;6191,91;274,97;385233,65450;5820094,10850;-
DEBE3DATKB1000082h;1095,52;0,00;385640,42000;5820245,44150;-
DEBE3D04YY50000QkM;9437,70;440,43;385565,06600;5820770,46200;-
DEBE3D01YYK0002OL5;111215,29;8778,54;385995,19550;5820962,08900;-
DEBE3D04YY5000025I;2465,82;176,38;385148,34650;5820135,59850;-
DEBE3DATKB1000081V;2157,86;0,00;385079,91750;5820305,15950;-
DEBE3D04YY50002bVH;74,03;24,78;385404,36650;5820081,13100;-
DEBE3D04YY50002cqR;54,31;20,90;385319,11400;5820031,46600;-
DEBE3D04YY500009HT;17818,21;779,83;385649,73600;5820157,08450;-
DEBE3D01YYK0002V8N;0,14;4,04;385988,26400;5820796,73350;-
DEBE3D04YY50002d6I;77,85;20,90;385299,71300;5820034,42500;-
DEBE3D04YY50002ch6;22,45;4,54;385960,73150;5820074,64050;-
DEBE3D04YY50002czP;117,02;6,05;385693,79250;5820020,18150;-
DEBE3D04YY50002d5j;150,45;7,08;385496,67000;5820189,52800;-
DEBE3D04YY50002cVc;7,97;2,66;385140,40200;5820217,96050;-
DEBE3D04YY50000QqV;2824,27;140,58;385972,93550;5820038,82950;-
DEBE3D04YY500008i2;3875,15;217,63;385252,35400;5820209,80000;-
DEBE3D04YY5000098C;9591,98;425,20;385765,89550;5820036,40550;-
DEBE3D04YY50000FBd;4246,96;195,87;385632,09900;5820020,52600;-
DEBE3D01YYK0002TvB;30213,60;1318,12;385893,87200;5820932,49000;-
DEBE3D04YY500009yz;12308,05;561,11;385251,28150;5820107,08750;-
DEBE3D04YY50002cEl;89,72;24,42;385421,71850;5820084,03350;-
DEBE3D01YYK0002NEn;11714,04;581,23;385782,52000;5820814,61250;-
DEBE3D04YY50002bvH;26,58;6,36;385390,76150;5820114,98500;-
DEBE3D04YY500005A8;4788,24;227,30;385888,32500;5820082,10800;-
DEBE3D04YY500007x2;203,92;55,82;385857,16600;5820119,28150;-
DEBE3D01YYK0002Spu;30,58;11,29;385857,12300;5820803,83400;-
DEBE3D04YY50002cDp;20,02;5,48;385550,09150;5820214,51100;-
DEBE3D04YY50000Rko;2901,84;206,12;385633,96650;5820134,02600;-
DEBE3D04YY50000EqE;3520,59;220,48;385061,11000;5820210,79250;-
DEBE3D01YYK0002Pn5;1399,77;67,77;385842,38550;5820891,75600;-
DEBE3D04YY50000AX4;4176,94;218,15;385687,87550;5820024,64600;-
DEBE3D01YYK0003Uqw;66,41;9,96;385865,43100;5820789,87900;-
DEBE3D01YYK0003URQ;79,61;25,08;385811,92700;5820952,68250;-
DEBE3D04YY50000Qgb;89,68;40,12;385825,26350;5820163,44050;-
DEBE3D04AL44k0000K;6411,15;363,05;385573,16150;5820199,78250;-
DEBE3D04YY50000GeM;7371,35;433,47;385110,97050;5820060,43350;-
DEBE3D01YYK0003V3w;339,75;40,31;386001,31050;5820956,25350;-
DEBE3D04YY500007Bs;2912,65;186,04;385036,35400;5820256,06550;-
DEBE3DATKB1000086v;629,19;0,00;385713,72550;5820853,49900;-
DEBE3D04YY50002cwp;0,52;14,13;385680,10150;5820017,32700;-
