======================== Summary ========================

Excluded 984 buildings from processing (reason: Missing year of construction)


================ Excluded buildings lists ===============

Excluded 984 buildings from processing (reason: Missing year of construction)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50002c04;114,95;7,45;384890,40100;5820091,84750;-
UUID_697db781-2888-4be1-9d5a-3d227194d7a1;5690,29;232,99;384785,53700;5820186,95800;-
DEBE3D04YY500003zw;3837,95;207,76;384612,19450;5820830,33250;-
DEBE3DnQeSs2teZs;1001,73;63,48;384805,92750;5820135,26600;-
DEBE3DJlWvCMCsJ7;2758,31;120,84;384630,83450;5820505,14950;-
DEBE3DX4XbBpi632;1167,50;59,72;384549,40850;5820071,69300;-
DEBE3D04YY50000Q3t;30,70;14,51;384588,00100;5820046,83200;-
DEBE3DAC2oDgcflw;1741,59;133,77;384881,09000;5820624,03300;-
UUID_ca557c36-4695-4a4f-97f8-053129369267;5622,79;256,91;384859,73350;5820885,83750;-
DEBE3DM753Qd2W1r;2301,85;120,54;384532,87050;5820871,41800;-
UUID_fceb27c1-af69-4a5d-8df1-677d03caa986;3199,53;202,91;384804,26400;5820827,31600;-
DEBE04YY50000N0K_01;5653,04;295,15;384680,05800;5820740,09550;-
DEBE3D04YY50000Nic;3349,73;169,70;384986,82700;5820119,40350;-
DEBE3DV1g8dX1SIC;604,14;28,99;384700,52000;5820607,45650;-
DEBE3D04YY50000AgW;2866,17;173,35;384806,96050;5820946,91300;-
DEBE3D04YY500009iU;95,26;37,53;384907,31500;5820170,08450;-
DEBE3Dnc1x7U3w13;4681,67;200,06;384801,01350;5820480,14850;-
DEBE3D04YY500001Sk;1492,38;64,20;384832,33450;5820358,62900;-
DEBE3DYqa839Znuy;6,83;14,47;384743,13650;5820865,54850;-
DEBE3Dj8DTpP3Jfu;297,36;25,82;384351,18400;5820028,18300;-
DEBE3DU7sWLMbzdR;876,48;38,96;384606,72600;5820912,47400;-
DEBE3DCtKzHo72AV;687,96;32,27;384691,03450;5820065,08050;-
DEBE04YY50000Bap_01;1224,29;47,87;384709,72600;5820250,19750;-
DEBE3DoY84AxpPbz;2374,22;101,32;384693,63550;5820634,74100;-
UUID_5c904949-8536-4503-b789-ab75fa5ffff7;1181,25;56,55;384882,07350;5820880,28550;-
DEBE3DOqtuSa7u2F;1220,71;64,12;385002,45850;5820731,77650;-
DEBE3DeA2hTAz199;923,86;44,34;384971,33200;5820241,52550;-
DEBE3DvNHx0aeW2A;2805,91;132,08;384746,24650;5820945,69050;-
DEBE04YY5000068O_001;4043,74;224,91;384888,90100;5820337,46250;-
DEBE3Dd6jYSMAV1N;542,65;25,71;384573,66400;5820731,17350;-
DEBE3DwWr7zKDCD4;1355,75;60,35;384847,14900;5820916,34750;-
UUID_9f7023ac-7214-4951-a412-b2fe65581ff1;5626,12;218,06;384431,14400;5820050,90900;-
DEBE04YY50000GXe_01;272,68;11,30;384606,06450;5820841,38500;-
UUID_9cdcd5c7-9c49-4c6b-a2e6-7f2d9d2eb3f4;8751,60;410,74;384508,98450;5820078,01200;-
DEBE3DKrHUGNteGF;636,61;27,70;384552,32050;5820624,09550;-
DEBE3DEqihPX53qw;1009,06;45,44;384772,28200;5820322,02600;-
DEBE3DtyYd5w73Pn;538,01;26,16;384778,40750;5820713,63950;-
DEBE3DLlP3hsGijT;2158,32;139,24;384295,55500;5820013,25600;-
DEBE3DtGDGsf84pu;2013,89;98,67;384712,65500;5820935,96550;-
DEBE04YY500003p8_03;102,84;7,11;384205,52000;5820059,69850;-
