Index;Consumption [kWh/h]
678;1786,82
679;1785,55
680;1784,33
681;1783,16
682;1782,99
683;1782,71
684;1782,65
685;1782,53
686;1782,38
687;1781,87
688;1781,06
689;1780,85
690;1780,55
691;1780,48
692;1778,31
693;1778,24
694;1777,14
695;1776,74
696;1776,67
697;1775,85
698;1775,75
699;1773,61
700;1773,12
701;1773,02
702;1772,39
703;1771,07
704;1770,92
705;1770,64
706;1770,45
707;1769,56
708;1769,38
709;1768,45
710;1768,18
711;1768,01
712;1767,82
713;1766,93
714;1766,05
715;1766,03
716;1765,92
717;1765,45
718;1764,87
719;1764,56
720;1764,53
721;1763,93
722;1763,80
723;1762,57
724;1762,41
725;1762,33
726;1762,24
727;1762,19
728;1761,42
729;1761,10
730;1760,80
731;1760,64
732;1760,57
733;1760,10
734;1758,90
735;1758,76
736;1758,56
737;1758,34
738;1757,43
739;1757,37
740;1757,37
741;1756,95
742;1756,56
743;1756,52
744;1756,43
745;1756,38
746;1756,30
747;1756,16
748;1756,12
749;1755,88
750;1755,43
751;1753,86
752;1753,68
753;1753,64
754;1753,50
755;1753,18
756;1753,03
757;1752,15
758;1751,92
759;1751,89
760;1751,43
761;1751,41
762;1751,14
763;1751,13
764;1751,10
765;1750,85
766;1750,46
767;1749,84
768;1749,73
769;1749,40
770;1749,22
771;1749,22
772;1748,92
773;1748,43
774;1748,25
775;1748,18
776;1747,65
777;1747,62
778;1747,48
779;1747,38
780;1747,24
781;1746,52
782;1746,37
783;1746,35
784;1746,31
785;1746,22
786;1744,73
787;1744,44
788;1744,21
789;1743,82
790;1743,46
791;1743,24
792;1743,18
793;1742,98
794;1742,93
795;1742,79
796;1742,77
797;1742,65
798;1741,86
799;1741,55
800;1741,49
801;1741,12
802;1740,85
803;1740,72
804;1740,62
805;1740,14
806;1739,69
807;1739,66
808;1739,57
809;1739,52
810;1739,15
811;1738,92
812;1738,82
813;1738,79
814;1738,01
815;1737,85
816;1737,13
817;1737,03
818;1736,99
819;1736,83
820;1736,61
821;1736,60
822;1736,51
823;1736,33
824;1735,71
825;1735,68
826;1735,55
827;1735,28
828;1735,27
829;1735,22
830;1734,93
831;1734,65
832;1734,50
833;1734,30
834;1734,02
835;1733,87
836;1733,75
837;1733,56
838;1732,93
839;1732,84
840;1732,73
841;1732,32
842;1732,07
843;1731,98
844;1731,62
845;1731,28
846;1731,07
847;1731,05
848;1730,85
849;1730,68
850;1730,64
851;1730,46
852;1730,29
853;1730,23
854;1730,14
855;1729,59
856;1729,40
857;1729,25
858;1729,15
859;1729,11
860;1729,02
861;1728,82
862;1728,51
863;1728,37
864;1728,17
865;1728,04
866;1727,98
867;1727,96
868;1727,81
869;1727,67
870;1727,10
871;1727,05
872;1726,94
873;1726,89
874;1726,77
875;1726,67
876;1726,61
877;1726,24
878;1726,19
879;1725,81
880;1725,76
881;1725,69
882;1725,29
883;1725,25
884;1725,10
885;1724,90
886;1724,68
887;1724,57
888;1724,47
889;1724,47
890;1724,47
891;1724,46
892;1724,44
893;1724,31
894;1724,06
895;1724,04
896;1723,97
897;1723,50
898;1723,32
899;1723,16
900;1722,82
901;1722,29
902;1721,97
903;1721,71
904;1721,64
905;1721,47
906;1721,22
907;1721,05
908;1720,93
909;1720,76
910;1720,49
911;1720,37
912;1719,52
913;1719,46
914;1719,42
915;1719,37
916;1719,31
917;1719,25
918;1718,93
919;1718,93
920;1718,50
921;1718,35
922;1718,20
923;1718,05
924;1717,43
925;1717,12
926;1717,03
927;1717,01
928;1716,87
929;1716,83
930;1716,81
931;1716,79
932;1716,72
933;1716,52
934;1716,35
935;1716,20
936;1716,17
937;1715,77
938;1715,66
939;1715,61
940;1715,59
941;1715,56
942;1715,43
943;1715,40
944;1715,28
945;1715,13
946;1714,82
947;1714,59
948;1713,88
949;1713,75
950;1713,53
951;1713,45
952;1713,45
953;1713,35
954;1713,15
955;1712,80
956;1712,57
957;1711,99
958;1711,96
959;1711,85
960;1711,77
961;1711,68
962;1711,60
963;1711,52
964;1711,28
965;1710,79
966;1710,53
967;1710,46
968;1709,99
969;1709,85
970;1709,64
971;1709,61
972;1709,42
973;1709,37
974;1709,16
975;1709,08
976;1709,08
977;1708,82
978;1707,97
979;1707,71
980;1707,28
981;1707,23
982;1707,01
983;1706,86
984;1706,81
985;1706,41
986;1706,10
987;1706,04
988;1705,74
989;1705,68
990;1705,67
991;1705,66
992;1705,48
993;1705,27
994;1704,95
995;1704,84
996;1704,80
997;1704,61
998;1704,61
999;1704,60
1000;1704,47
1001;1704,39
1002;1704,39
1003;1704,34
1004;1704,20
1005;1704,08
1006;1703,94
1007;1703,90
1008;1703,79
1009;1703,78
1010;1703,63
1011;1703,49
1012;1703,34
1013;1703,30
1014;1703,29
1015;1703,26
1016;1703,17
1017;1703,13
1018;1702,94
1019;1702,43
1020;1702,29
1021;1702,13
1022;1701,53
1023;1701,51
1024;1701,48
1025;1701,45
1026;1701,34
1027;1701,26
1028;1701,26
1029;1701,19
1030;1701,12
1031;1701,09
1032;1700,99
1033;1700,97
1034;1700,94
1035;1700,78
1036;1700,60
1037;1700,50
1038;1700,42
1039;1700,30
1040;1700,22
1041;1700,21
1042;1700,09
1043;1699,98
1044;1699,96
1045;1699,85
1046;1699,71
1047;1699,25
1048;1699,14
1049;1699,10
1050;1698,74
1051;1698,69
1052;1698,30
1053;1697,87
1054;1697,86
1055;1697,83
1056;1697,66
1057;1697,62
1058;1697,51
1059;1697,48
1060;1697,42
1061;1697,12
1062;1696,67
1063;1696,59
1064;1696,54
1065;1696,51
1066;1696,45
1067;1696,30
1068;1696,18
1069;1695,87
1070;1695,69
1071;1695,30
1072;1695,15
1073;1695,05
1074;1694,80
1075;1694,69
1076;1694,25
1077;1693,98
1078;1693,80
1079;1693,66
1080;1693,46
1081;1692,85
1082;1692,84
1083;1692,68
1084;1692,51
1085;1692,35
1086;1692,19
1087;1691,86
1088;1691,82
1089;1691,17
1090;1690,38
1091;1689,94
