Index;Consumption [kWh/h]
876;3107,12
877;3106,71
878;3106,69
879;3106,50
880;3106,36
881;3106,11
882;3106,00
883;3105,52
884;3105,42
885;3105,39
886;3105,29
887;3105,07
888;3104,92
889;3104,83
890;3104,04
891;3104,01
892;3103,91
893;3103,82
894;3103,75
895;3103,59
896;3103,23
897;3103,15
898;3103,14
899;3102,95
900;3102,83
901;3102,57
902;3101,83
903;3101,50
904;3101,28
905;3101,00
906;3100,84
907;3100,50
908;3100,46
909;3098,62
910;3098,47
911;3098,35
912;3098,02
913;3097,75
914;3097,19
915;3096,10
916;3095,75
917;3095,15
918;3094,80
919;3094,44
920;3094,36
921;3094,25
922;3093,77
923;3093,52
924;3093,35
925;3093,17
926;3092,98
927;3092,94
928;3092,82
929;3092,81
930;3092,80
931;3092,78
932;3092,72
933;3091,47
934;3091,24
935;3091,19
936;3090,87
937;3090,87
938;3090,68
939;3090,67
940;3090,57
941;3090,51
942;3090,30
943;3090,16
944;3089,73
945;3089,49
946;3089,36
947;3088,65
948;3088,45
949;3088,29
950;3087,51
951;3087,36
952;3087,27
953;3087,08
954;3087,01
955;3086,48
956;3085,84
957;3085,63
958;3085,41
959;3084,91
960;3084,23
961;3083,98
962;3083,82
963;3083,31
964;3083,00
965;3082,99
966;3082,96
967;3082,90
968;3082,70
969;3082,46
970;3081,79
971;3081,76
972;3081,70
973;3081,01
974;3080,66
975;3080,21
976;3080,01
977;3079,89
978;3079,85
979;3078,98
980;3078,63
981;3078,57
982;3078,53
983;3078,10
984;3077,23
985;3077,15
986;3077,03
987;3077,01
988;3076,65
989;3076,64
990;3076,53
991;3076,53
992;3076,23
993;3075,71
994;3075,31
995;3074,84
996;3074,76
997;3074,34
998;3073,95
999;3073,68
1000;3073,44
1001;3073,36
1002;3072,81
1003;3072,50
1004;3072,07
1005;3071,96
1006;3071,88
1007;3071,77
1008;3071,76
1009;3071,00
1010;3070,47
1011;3070,32
1012;3070,01
1013;3069,48
1014;3069,45
1015;3068,75
1016;3068,32
1017;3068,30
1018;3068,24
1019;3067,86
1020;3066,60
1021;3065,85
1022;3065,72
1023;3064,87
1024;3064,65
1025;3064,61
1026;3063,62
1027;3063,47
1028;3063,32
1029;3063,29
1030;3063,14
1031;3063,05
1032;3062,71
1033;3062,67
1034;3062,65
1035;3062,51
1036;3062,28
1037;3062,23
1038;3061,99
1039;3061,95
1040;3061,73
1041;3061,21
1042;3060,58
1043;3060,43
1044;3060,11
1045;3059,59
1046;3059,18
1047;3059,12
1048;3058,86
1049;3058,52
1050;3057,95
1051;3057,75
1052;3057,11
1053;3056,84
1054;3056,65
1055;3056,17
1056;3056,17
1057;3056,00
1058;3055,75
1059;3055,71
1060;3055,34
1061;3055,26
1062;3054,97
1063;3054,76
1064;3054,32
1065;3054,22
1066;3054,08
1067;3053,91
1068;3053,51
1069;3053,24
1070;3052,80
1071;3052,79
1072;3052,66
1073;3052,54
1074;3052,53
1075;3052,08
1076;3051,29
1077;3051,23
1078;3051,16
1079;3050,79
1080;3050,57
1081;3050,21
1082;3050,17
1083;3050,10
1084;3049,97
1085;3049,06
1086;3048,78
1087;3048,66
1088;3047,53
1089;3046,88
1090;3046,54
1091;3046,24
1092;3045,69
1093;3045,48
1094;3045,23
1095;3045,19
1096;3043,70
1097;3043,62
1098;3042,87
1099;3042,79
1100;3042,66
1101;3042,28
1102;3041,19
1103;3041,13
1104;3040,89
1105;3040,00
1106;3039,84
1107;3039,42
1108;3039,42
1109;3039,35
1110;3039,33
1111;3038,54
1112;3038,08
1113;3037,65
1114;3037,47
1115;3036,85
1116;3036,63
1117;3035,73
1118;3035,43
1119;3035,32
1120;3035,27
1121;3035,24
1122;3035,01
1123;3034,78
1124;3034,54
1125;3034,53
1126;3034,09
1127;3033,95
1128;3033,10
1129;3031,40
1130;3030,80
1131;3030,62
1132;3030,30
1133;3029,97
1134;3029,90
1135;3029,36
1136;3029,12
1137;3028,96
1138;3028,48
1139;3027,41
1140;3026,86
1141;3026,62
1142;3026,35
1143;3026,16
1144;3026,13
1145;3025,94
1146;3025,90
1147;3025,76
1148;3025,61
1149;3025,23
1150;3024,09
1151;3022,99
1152;3022,78
1153;3022,62
1154;3021,50
1155;3020,21
1156;3019,47
1157;3019,20
1158;3018,59
1159;3018,03
1160;3017,73
1161;3017,60
1162;3017,52
1163;3017,36
1164;3016,43
1165;3016,35
1166;3016,32
1167;3015,78
1168;3015,56
1169;3015,11
1170;3014,58
1171;3014,45
1172;3013,30
1173;3011,66
1174;3008,75
1175;3007,85
1176;3006,72
1177;3006,44
1178;3005,03
1179;2998,83
1180;2989,99
1181;2988,60
1182;2970,72
1183;2963,20
1184;2937,36
1185;2936,84
1186;2935,48
1187;2934,17
1188;2933,20
1189;2931,57
1190;2930,43
1191;2929,92
1192;2929,04
1193;2928,38
1194;2928,24
1195;2924,77
1196;2923,45
1197;2923,44
1198;2922,29
1199;2921,88
1200;2921,31
1201;2920,17
1202;2918,94
1203;2918,34
1204;2918,07
1205;2917,58
1206;2917,06
1207;2914,59
1208;2912,35
1209;2912,28
1210;2911,98
1211;2911,40
1212;2908,83
1213;2906,80
1214;2906,20
1215;2904,65
1216;2903,15
1217;2902,56
1218;2902,28
1219;2899,64
1220;2898,63
1221;2896,89
1222;2896,36
1223;2895,96
1224;2894,75
1225;2890,95
1226;2889,98
1227;2888,99
1228;2887,52
1229;2886,71
1230;2884,94
1231;2884,52
1232;2884,30
1233;2883,76
1234;2881,68
1235;2881,23
1236;2881,02
1237;2879,53
1238;2879,47
1239;2874,64
1240;2873,66
1241;2873,56
1242;2872,78
1243;2872,29
1244;2848,19
1245;2845,12
1246;2844,13
1247;2843,96
1248;2841,60
1249;2834,97
1250;2834,67
1251;2827,97
1252;2823,62
1253;2823,39
1254;2822,45
1255;2822,16
1256;2819,97
1257;2817,02
1258;2815,80
1259;2815,61
1260;2814,60
1261;2812,63
1262;2812,62
1263;2811,38
1264;2810,47
1265;2810,08
1266;2808,67
1267;2804,97
1268;2801,29
1269;2801,13
1270;2800,38
1271;2799,70
1272;2799,09
1273;2797,77
1274;2797,59
1275;2796,50
1276;2796,48
1277;2796,05
1278;2795,13
1279;2794,48
1280;2794,25
1281;2793,71
1282;2793,71
1283;2793,52
1284;2793,03
1285;2793,01
1286;2792,72
1287;2792,70
1288;2792,66
1289;2792,64
1290;2792,38
1291;2790,59
1292;2790,49
1293;2790,33
1294;2789,76
1295;2789,17
1296;2789,06
1297;2788,89
1298;2788,72
1299;2787,47
1300;2787,20
1301;2787,10
1302;2787,02
1303;2786,44
1304;2786,14
1305;2785,89
1306;2785,87
1307;2785,64
1308;2785,61
1309;2785,52
1310;2785,13
1311;2785,00
1312;2784,66
1313;2782,06
1314;2780,27
1315;2779,97
1316;2778,46
1317;2778,18
1318;2778,05
1319;2777,57
1320;2777,29
1321;2777,25
1322;2776,81
1323;2776,42
1324;2775,29
1325;2774,39
1326;2772,51
1327;2771,69
1328;2770,50
1329;2769,10
1330;2768,82
1331;2767,57
1332;2767,16
1333;2767,03
1334;2765,81
1335;2765,37
1336;2764,02
1337;2763,81
1338;2763,12
1339;2762,99
1340;2761,92
1341;2760,50
1342;2760,12
1343;2760,10
1344;2760,03
1345;2757,88
1346;2757,65
1347;2756,12
1348;2755,06
1349;2753,07
1350;2752,57
1351;2751,93
1352;2751,19
1353;2749,96
1354;2748,59
1355;2748,53
1356;2747,86
1357;2747,58
1358;2746,79
1359;2746,59
1360;2746,36
1361;2746,04
1362;2745,78
1363;2744,66
1364;2744,02
1365;2743,00
1366;2740,32
1367;2739,23
1368;2738,05
1369;2737,08
1370;2736,29
1371;2735,66
1372;2734,68
1373;2733,55
1374;2732,28
1375;2730,63
1376;2729,85
1377;2728,85
1378;2728,35
1379;2728,29
1380;2717,72
1381;2716,00
1382;2711,18
1383;2710,08
1384;2709,28
1385;2704,31
1386;2703,55
1387;2701,82
1388;2697,93
1389;2696,88
1390;2696,45
1391;2695,57
1392;2693,60
1393;2693,57
1394;2692,82
1395;2692,66
1396;2688,48
1397;2686,87
1398;2685,99
1399;2684,73
1400;2683,97
1401;2683,80
1402;2682,93
1403;2682,87
1404;2682,08
1405;2681,99
1406;2681,35
1407;2681,06
1408;2680,16
1409;2679,74
1410;2679,42
1411;2678,42
1412;2678,08
1413;2678,04
1414;2677,00
1415;2676,13
1416;2674,04
1417;2673,31
1418;2673,16
1419;2672,84
1420;2672,04
1421;2671,46
1422;2671,42
1423;2670,50
1424;2670,01
1425;2669,42
1426;2669,31
1427;2669,09
1428;2668,75
1429;2668,61
1430;2667,76
1431;2667,69
1432;2666,43
