======================== Summary ========================

Excluded 7 buildings from processing (reason: Unknown ALKIS code: 1610)
Excluded 6 buildings from processing (reason: Building seems to be too low and has 0 storey.)
Excluded 4 buildings from processing (reason: Unknown ALKIS code: 3060)
Excluded 1 buildings from processing (reason: Heated area is too small)
Excluded 8 buildings from processing (reason: Unknown ALKIS code: 2460)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 3020)
Excluded 521 buildings from processing (reason: Missing year of construction)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2054)
Excluded 3 buildings from processing (reason: Unknown ALKIS code: 1120)


================ Excluded buildings lists ===============

Excluded 7 buildings from processing (reason: Unknown ALKIS code: 1610)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3DATKB100008VE;93,93;0,00;384406,71400;5820676,18150;-
DEBE3DQzsUeRC4LJ;7555,64;336,91;384594,15450;5820154,33500;-
DEBE3D04YY50000Gdk;3554,19;201,13;385003,38500;5820149,30950;-
DEBE3DukgCRQWKI2;575,18;59,85;384884,87800;5820117,18250;-
DEBE3DYcL34w1BPC;872,95;54,61;384791,29650;5820142,99000;-
DEBE3DJdZEORSFDD;5758,30;284,23;384602,93600;5820042,94500;-
DEBE3DKYsdhCgBSD;4518,40;209,00;384884,99600;5820281,16000;-
DEBE3D04YY50002bj7;225,45;48,78;384888,41200;5820961,68400;-
DEBE3D04YY50000PVY;3379,97;173,04;384970,42650;5820118,31700;-
DEBE3D04YY50002d4o;102,50;5,61;384904,89250;5820085,30800;-
DEBE3DDOWZ0fI0Pt;18499,61;771,74;384991,98750;5821001,43650;-
DEBE04YY50000CB1_03;838,71;36,51;384763,58700;5820078,00200;-
DEBE04YY500009QV_02;1319,63;139,51;384111,52250;5820705,60900;-
UUID_bc954f8a-e20b-4f49-88c7-1f62f2fb1de0;69349,94;4560,09;384366,91700;5820313,23250;-
DEBE3DbZST0nVfnG;1363,89;74,42;384668,75700;5820344,12300;-
DEBE04YY50000CB1_02;82,46;30,20;384754,87850;5820076,68600;-
DEBE3D04YY500007nt;46,28;15,41;384466,38200;5820990,09950;-
DEBE04YY50000CB1_01;844,25;36,01;384769,38650;5820088,39300;-
DEBE3DfQSSGSBraz;3153,50;198,20;384827,12300;5820137,64650;-
DEBE3DapVpnY8cd5;3986,53;162,69;384820,60350;5820343,98500;-
DEBE3DqNS2FTmBBX;1149,49;62,36;385002,71450;5820027,20050;-
DEBE3D04YY50000CFB;131,11;46,82;384320,94600;5820009,16800;-
DEBE04YY50000Cxy_001;3663,12;191,84;384461,48050;5820017,54550;-
DEBE3DATKBDR0000Wt;64,86;0,00;384425,20900;5820662,75300;-
DEBE04YY5000010A_001;1478,46;131,67;384239,05650;5820236,67950;-
DEBE04YY500004b8_01;156,88;13,70;384226,56750;5820041,84850;-
DEBE3DGPx0qP2Nfb;4354,23;174,83;384555,50700;5820118,85650;-
UUID_0abd0d9a-b7b5-4fc6-bb78-21f37d16a6c0;4695,65;276,82;384731,37800;5820053,70100;-
DEBE3D04YY50000Qdy;4263,97;230,15;384991,43850;5820032,77100;-
DEBE3DyyBdBqFMDN;991,47;51,88;384743,31950;5820205,09700;-
DEBE3DxKILilvSwV;990,72;102,58;384468,66450;5820128,72600;-
DEBE3D04YY500004uU;1422,84;474,92;384592,75750;5820137,68650;-
DEBE3DUDJn4qlInI;2713,62;142,70;384788,35550;5820050,61200;-
DEBE3D04YY50002baL;19,99;41,55;384512,43850;5820351,90450;-
DEBE04YY500004b8_02;123,48;10,31;384235,17100;5820037,11650;-
DEBE04YY500004jI_02;183,97;48,81;384488,86650;5820117,18300;-
DEBE04YY50000C20_01;173,82;32,48;384266,30050;5820133,91000;-
DEBE3DDFpe90nfOO;5876,91;335,90;384676,32700;5820213,28550;-
DEBE3DATKB100008V1;89,55;0,00;384320,63450;5820956,79850;-
DEBE3DQQu0q6haNP;1048,09;48,87;384831,34850;5820334,28850;-
DEBE3DYd6c42guGm;866,39;37,12;384993,00700;5820272,05500;-
DEBE3DVcuOsVZ6P9;788,93;86,61;384719,56650;5820242,69300;-
DEBE3DATKB100008V7;92,37;0,00;384008,59350;5820818,37200;-
DEBE3D04YY50000Lx7;4374,88;205,69;384726,80000;5820033,70900;-
DEBE3DATKBDR0000X9;68,44;0,00;384396,51900;5820982,67200;-
DEBE3D04YY50000Dkg;6544,34;279,08;384686,19750;5820294,58750;-
DEBE3Dj0r4QcxVRt;1500,69;89,72;384302,18600;5820008,76950;-
DEBE04YY50000OFp_01;229,60;12,40;384900,42700;5820085,48950;-
DEBE04YY50000OFp_02;1786,02;108,24;384888,28650;5820087,15800;-
DEBE3DEao9jDsY89;2396,96;124,22;384821,56450;5820052,76050;-
DEBE3DjjGEmaQ81T;1344,52;52,05;384581,60900;5820096,31350;-
DEBE3DhsMdFwXjO9;2975,76;172,58;384328,98400;5820069,39800;-
DEBE3Dq1vkizkIea;3894,92;189,78;384965,71450;5820271,07700;-
DEBE3DC1SXPnlsR3;1805,17;79,80;384917,77850;5820938,05150;-
DEBE04YY50000OFp_03;634,75;48,77;384880,07350;5820091,21250;-
DEBE3DywD998J0Vr;1086,07;42,26;384619,87550;5820041,43350;-
DEBE3DufshENb5Yn;2518,10;116,03;384839,98500;5820326,95750;-
DEBE3DJKqcITGwqE;2060,92;86,75;384578,27850;5820104,19850;-
DEBE3DpqN6lm4qbI;466,20;107,31;384891,58750;5820875,91250;-
DEBE3DAc4hSjzknG;1328,92;60,97;384606,69750;5820070,45350;-
DEBE3DAYrLUZc05y;2289,10;119,75;384803,46350;5820165,63400;-
DEBE3D04YY50002d5n;354,86;18,54;384879,29400;5820027,70300;-
DEBE3DoNvpUCCxHL;2291,74;93,51;384556,69900;5820135,41550;-
DEBE04YY50000Gy6_01;146,65;8,73;384543,52500;5820071,52450;-
DEBE3D04YY50002cUB;10,69;4,84;384908,26650;5820954,12300;-
DEBE3DBj4ZM9betO;2603,49;136,12;384890,00000;5820161,46550;-
DEBE04YY50000FnV_01;141,00;34,12;384818,31500;5820211,58250;-
