blknr,bez,bezname,plr,blktypname,ewk,area,datum,ueberw_dek,freistehen,doppelhaus,gereihtes,anderertyp,x_bis_1900,x1901_1910,x1911_1920,x1921_1930,x1931_1940,x1941_1950,x1951_1960,x1961_1970,x1971_1980,x1981_1990,x1991_2000,x2001_2010,x2011_2015,ew2015,typ,typklar
"020050","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,7815.945312500000000,1994/06/01 00:00:00.000,bis 1900,,,14.000000000000000,7.000000000000000,8.000000000000000,4.000000000000000,6.000000000000000,,,,,,,3.000000000000000,,,,540.000000000000000,2.000000000000000,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig"
"020051","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,21565.632812500000000,1997/08/20 00:00:00.000,bis 1900,1.000000000000000,,28.000000000000000,5.000000000000000,8.000000000000000,5.000000000000000,7.000000000000000,1.000000000000000,,,5.000000000000000,5.000000000000000,,,3.000000000000000,,,937.000000000000000,2.000000000000000,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig"
"020052","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,10858.265625000000000,1994/06/01 00:00:00.000,1901-1910,,,20.000000000000000,1.000000000000000,1.000000000000000,17.000000000000000,3.000000000000000,,,,,,,,,,,490.000000000000000,2.000000000000000,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig"
"020053","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,10324.307617187500000,1994/06/01 00:00:00.000,gemischte Baualtersklasse,2.000000000000000,,12.000000000000000,1.000000000000000,3.000000000000000,4.000000000000000,4.000000000000000,2.000000000000000,,,1.000000000000000,1.000000000000000,,,,,,443.000000000000000,2.000000000000000,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig"
"020054","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,8621.159179687500000,1994/06/01 00:00:00.000,,,,,,,,,,,,,,,,,,,,,
"020055","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,77514.328125000014552,1994/11/24 00:00:00.000,1901-1910,,,14.000000000000000,2.000000000000000,3.000000000000000,7.000000000000000,1.000000000000000,,,,3.000000000000000,,1.000000000000000,1.000000000000000,,,,479.000000000000000,13.000000000000000,Neubau-Schule (nach 1945)
"020057","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,6223.313964843750000,1994/06/01 00:00:00.000,1921-1930,,,15.000000000000000,,,,,15.000000000000000,,,,,,,,,,300.000000000000000,10.000000000000000,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig"
"020058","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,5485.676757812500909,1994/06/01 00:00:00.000,1921-1930,,,17.000000000000000,,,,,13.000000000000000,,3.000000000000000,1.000000000000000,,,,,,,381.000000000000000,10.000000000000000,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig"
"020059","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,12303.541992187500000,1994/06/01 00:00:00.000,1921-1930,1.000000000000000,,13.000000000000000,1.000000000000000,,,,15.000000000000000,,,,,,,,,,211.000000000000000,10.000000000000000,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig"
"020670","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,43202.726562500000000,1993/06/30 00:00:00.000,1951-1960,,,28.000000000000000,,,,,,,,28.000000000000000,,,,,,,429.000000000000000,11.000000000000000,"Freie Zeilenbebauung (1950er-1970er), mit landschaftlichem Siedlungsgrün, 3–6-geschossig"
"020670","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,43202.726562500000000,1993/06/30 00:00:00.000,1921-1930,,,4.000000000000000,1.000000000000000,,,1.000000000000000,4.000000000000000,,,,,,,,,,71.000000000000000,12.000000000000000,Altbau-Schule (vor 1945)
"020672","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,13669.580078125000000,1995/08/02 00:00:00.000,1981-1990,2.000000000000000,,9.000000000000000,,,1.000000000000000,,4.000000000000000,,,,,1.000000000000000,5.000000000000000,,,,476.000000000000000,10.000000000000000,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig"
"020673","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,12674.413085937500000,1994/10/19 00:00:00.000,1951-1960,2.000000000000000,,7.000000000000000,1.000000000000000,,1.000000000000000,3.000000000000000,,,1.000000000000000,5.000000000000000,,,,,,,243.000000000000000,10.000000000000000,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig"
"020691","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,34357.222656250000000,1994/11/24 00:00:00.000,1901-1910,,,47.000000000000000,4.000000000000000,,20.000000000000000,1.000000000000000,2.000000000000000,10.000000000000000,,4.000000000000000,3.000000000000000,11.000000000000000,,,,,785.000000000000000,11.000000000000000,"Freie Zeilenbebauung (1950er-1970er), mit landschaftlichem Siedlungsgrün, 3–6-geschossig"
"020902","04",Charlottenburg-Wilmersdorf,"04300517",Bahnblock,unbewohnt,44769.953125000000000,1994/11/24 00:00:00.000,1901-1910,,,47.000000000000000,4.000000000000000,,20.000000000000000,1.000000000000000,2.000000000000000,10.000000000000000,,4.000000000000000,3.000000000000000,11.000000000000000,,,,,785.000000000000000,11.000000000000000,"Freie Zeilenbebauung (1950er-1970er), mit landschaftlichem Siedlungsgrün, 3–6-geschossig"
"021060","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,15312.609375000000000,1993/07/01 00:00:00.000,1901-1910,,,7.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000,2.000000000000000,,,,,,,,1.000000000000000,1.000000000000000,,161.000000000000000,30.000000000000000,"Gewerbe- und Industriegebiet, großflächiger Einzelhandel, geringe Bebauung"
"021061","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,130373.609375000000000,2003/06/18 00:00:00.000,2011-2015,,,,,,,,,,,,,,,,,"8",173.000000000000000,11.000000000000000,"Freie Zeilenbebauung (1950er-1970er), mit landschaftlichem Siedlungsgrün, 3–6-geschossig"
"021062","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,26549.175781250000000,1994/11/24 00:00:00.000,,,,,,,,,,,,,,,,,,,,,
