blknr,bez,bezname,plr,blktypname,ewk,area,datum,ueberw_dek,freistehen,doppelhaus,gereihtes,anderertyp,x_bis_1900,x1901_1910,x1911_1920,x1921_1930,x1931_1940,x1941_1950,x1951_1960,x1961_1970,x1971_1980,x1981_1990,x1991_2000,x2001_2010,x2011_2015,ew2015,typ,typklar,dh_consumption_mwh2022,dh_consumption_mwh_2021,dh_consumption_mwh_2020,blknr_2,bez_2,bezname_2,plr_2,blktypna_1,ewk_2,area_2,datum_2,fid_x,el_consumption_mwh_2022,el_excluded_2022,el_consumption_mwh_2020,el_excluded_2020,el_consumption_mwh_2021,el_excluded_2021,fid_y,gas_consumption_mwh_2022,gas_excluded_2022,gas_consumption_mwh_2021,gas_excluded_2021,gas_consumption_mwh_2020,gas_excluded_2020,ew2020,ew2021,ew2022
20037,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,11607.4287109375,1993/06/30 00:00:00.000,1951-1960,1.0,1.0,13.0,2.0,1.0,2.0,,4.0,1.0,,8.0,,,1.0,,,,466.0,10.0,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig",1936.726,2248.535,2046.097,20037,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,11607.4287109375,1993/06/30 00:00:00.000,20,769.582,,800.408,,830.192,,21,73.822,,80.596,,47.828,,647.0,669.0,642
20038,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,10734.8740234375,1993/06/30 00:00:00.000,gemischte Baualtersklasse,5.0,,19.0,1.0,7.0,2.0,7.0,,,1.0,3.0,2.0,1.0,2.0,,,,667.0,2.0,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig",1319.648,1476.613,1394.182,20038,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,10734.8740234375,1993/06/30 00:00:00.000,21,985.165,,1049.14,,1037.121,,22,782.158,,889.491,,831.3049999999998,,654.0,636.0,621
20039,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,13377.912109375,1993/06/30 00:00:00.000,1901-1910,1.0,,10.0,11.0,3.0,13.0,2.0,,,,2.0,,1.0,,1.0,,,604.0,2.0,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig",389.331,475.813,405.291,20039,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,13377.912109375,1993/06/30 00:00:00.000,22,794.209,,856.029,,870.674,,23,2483.888,,2769.789,,2343.994,,595.0,586.0,570
20040,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,8999.685546875,1993/11/10 00:00:00.000,1901-1910,2.0,,10.0,6.0,3.0,8.0,5.0,1.0,1.0,,,,,,,,,458.0,2.0,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig",,,,20040,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,8999.685546875,1993/11/10 00:00:00.000,23,612.016,,641.754,,659.479,,24,2382.602,,2719.693,,2249.042,,472.0,465.0,440
20041,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,9360.779296875,1993/11/10 00:00:00.000,1901-1910,1.0,,17.0,1.0,3.0,13.0,1.0,,,,,2.0,,,,,,456.0,2.0,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig",759.2849999999999,697.822,775.241,20041,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,9360.779296875,1993/11/10 00:00:00.000,24,802.906,,1071.922,,1061.345,,25,1562.321,,1747.932,,1609.188,,514.0,482.0,497
20042,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,17651.447265625,1993/07/01 00:00:00.000,1901-1910,,,22.0,5.0,6.0,15.0,5.0,,,,,1.0,,,,,,913.0,1.0,"Dichte Blockbebauung, geschlossener Hinterhof (1870er-1918), 5-6-geschossig",776.106,910.192,823.1979999999999,20042,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,17651.447265625,1993/07/01 00:00:00.000,25,1225.315,,1267.158,,1297.228,,26,3623.015,,4322.805,,3629.244,,963.0,925.0,945
20043,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,15406.279296875,1993/07/01 00:00:00.000,1901-1910,3.0,,19.0,5.0,3.0,13.0,6.0,1.0,,,2.0,2.0,,,,,,654.0,2.0,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig",,,,20043,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,15406.279296875,1993/07/01 00:00:00.000,26,799.847,,847.864,,839.088,,27,3314.817,,3976.071,,3443.75,,622.0,625.0,691
20044,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,11569.5361328125,1993/07/01 00:00:00.000,1901-1910,,2.0,24.0,4.0,9.0,15.0,2.0,1.0,,,,,,2.0,1.0,,,675.0,1.0,"Dichte Blockbebauung, geschlossener Hinterhof (1870er-1918), 5-6-geschossig",758.7369999999999,790.3909999999998,747.4829999999998,20044,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,11569.5361328125,1993/07/01 00:00:00.000,27,943.118,,1049.405,,1024.746,,28,2978.505,,3125.46,,2823.442,,707.0,684.0,658
20045,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,10011.8134765625,1993/06/30 00:00:00.000,1901-1910,,1.0,14.0,2.0,1.0,7.0,,,,1.0,5.0,3.0,,,,,,444.0,2.0,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig",1184.802,1441.295,1263.403,20045,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,10011.8134765625,1993/06/30 00:00:00.000,28,642.91,,664.307,,653.944,,29,508.709,,591.024,,523.574,,450.0,437.0,464
20050,4,Charlottenburg-Wilmersdorf,4300518,Block,100-999 Einwohner,7815.9453125,1994/06/01 00:00:00.000,bis 1900,,,14.0,7.0,8.0,4.0,6.0,,,,,,,3.0,,,,540.0,2.0,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig",,,,20050,4,Charlottenburg-Wilmersdorf,4300518,Block,100-999 Einwohner,7815.9453125,1994/06/01 00:00:00.000,29,783.397,,845.068,,778.312,,30,1185.914,,1317.958,,1281.116,,491.0,514.0,503
