BuildingID,yearOfConstruction
DEBE3D04YY50002cBn,2013
DEBE3D04YY500007Pe,2013
DEBE3D04YY50002cq9,2013
DEBE3D04YY50000BEo,2013
DEBE3D04YY50000HXT,2013
DEBE3D04YY500009XJ,2013
DEBE3D04YY50000KBD,2013
DEBE3D04YY50000Fou,2013
DEBE3D04YY50000B9M,2013
DEBE3D04YY50000EkF,1900
DEBE3D04YY500009vM,1900
DEBE3D04YY50000MzR,1900
DEBE3D00YY2l50001y,1900
DEBE3D04YY50000OjQ,1900
DEBE3D04YY50000ImW,1900
DEBE3D04YY50000NQI,1900
DEBE3D04YY50002cnG,1900
DEBE3D04YY50002cJF,1900
DEBE3D04YY50000HQZ,1900
DEBE3D04YY50002cOv,1900
DEBE3D04YY50000QML,1900
DEBE3D04YY50000B9g,1900
DEBE3D04YY50000ABv,1900
DEBE3D04YY50000ReH,1900
DEBE3D04YY500009p6,1900
DEBE3D00YY2ZI0002c,1900
DEBE3D04YY500006AI,1900
DEBE3D04YY50002cx7,1900
DEBE3D04YY50002cHW,1900
DEBE3D04YY500009BM,1900
DEBE3D04YY50000Cqv,1900
DEBE3D04YY50000Oaj,1900
DEBE3D04YY50000Q0Z,1900
DEBE3D04YY50000Ffk,1900
DEBE3D04YY500002jO,1900
DEBE3D04YY50000FcR,1900
DEBE3D04YY50000QjQ,1900
DEBE3D04YY500005H9,1900
DEBE3D00YY2ZI0002f,1900
DEBE3D04YY500004br,1900
DEBE3D04YY50000316,1900
DEBE3D04YY50000MpK,1900
DEBE3D04YY50000B6z,1900
DEBE3D04YY50000Hcp,1900
DEBE3D04YY50000Lwj,1900
DEBE3D04YY500001JV,1900
DEBE3D04YY500004ib,1900
DEBE3D04YY50000Pzz,1900
DEBE3D04YY50000Aby,1900
DEBE3D04YY50002czx,1900
DEBE3D04YY50000JC1,1900
DEBE3D04YY50000O2q,1900
DEBE3D00YY2ZI0002e,1900
DEBE3D04YY50002bkN,1900
DEBE3D00YY2ZI0002d,1900
DEBE3D04YY50000Rgr,1900
DEBE3D04YY50000G7s,1900
DEBE3D04YY500003m9,1900
DEBE3D04YY500002zq,1900
DEBE3D04YY50002cK2,1905
DEBE3D00YY2oD0000i,1905
DEBE3D04YY50000QOl,1905
DEBE3D04YY500002dK,1905
DEBE3D04YY50002d3m,1905
DEBE3D04YY500006eO,1905
DEBE3D04YY50000Cax,1905
DEBE3D04YY50000Hfk,1905
DEBE3D04YY50000QEa,1905
DEBE3D04YY50000RYE,1905
DEBE3D04YY50000E2k,1905
DEBE3D04YY50002coY,1905
DEBE3D04YY500009j0,1905
DEBE3D04YY500001ES,1905
DEBE3D04YY500009gj,1905
DEBE3D04YY500009KN,1905
DEBE3D04YY50000Brc,1905
DEBE3D04YY500007Xd,1905
DEBE3D00YY2oD0000T,1905
DEBE3D04YY50000Baa,1905
DEBE3D00YY2oD0000U,1905
DEBE3D04YY500005MN,1905
DEBE3D04YY50002bYv,1905
DEBE3D04YY50000B2H,1905
DEBE3D04YY50000JDA,1905
DEBE3D04YY50000PxG,1905
DEBE3D00YY2oD0000h,1905
DEBE3D04YY50000Mea,1905
DEBE3D04YY500009qS,1905
DEBE3D04YY500009id,1905
DEBE3D00YY1RC00049,1985
DEBE3D04YY50000KH8,1985
DEBE3D04YY50002bw7,1985
DEBE3D04AL4WP0000P,1985
DEBE3D04AL4WP0000O,1985
DEBE3D04YY50002bwW,1985
DEBE3D04AL4WP0000Q,1985
DEBE3D04YY500007xW,1985
DEBE3D04YY500003zA,1985
DEBE3D04YY500003kD,1985
DEBE3D04YY500009nt,1985
DEBE3D04YY500007TL,1985
DEBE3D04YY50002cH0,1985
DEBE3D04YY500004Nw,1900
DEBE3D04YY500007zU,1900
DEBE3D04YY500006pX,1900
DEBE3D04YY50002cV9,1900
DEBE3D04YY5000071f,1900
DEBE3D04YY500007pM,1900
DEBE3D04YY500003Hl,1900
DEBE3D04YY50000E79,1900
DEBE3D04YY500002Qk,1900
DEBE3D04YY50000B8K,1900
DEBE3D04YY50000RhR,1900
DEBE3D04YY500008uA,1900
DEBE3D04YY50000KUA,1900
DEBE3D04YY50000OtW,1900
DEBE3D04YY50000LLO,1900
DEBE3D04YY500005tW,1900
DEBE3D04YY500008wm,1900
DEBE3D04YY500009G7,1900
DEBE3D04YY500005Am,1900
DEBE3D04YY500003cE,1900
DEBE3D04YY50000PcM,1900
DEBE3D04YY50000LLQ,1900
DEBE3D04YY500004aT,1900
DEBE3D04YY500007lJ,1900
DEBE3D04YY50000HNE,1900
DEBE3D04YY50000Day,1900
DEBE3D04YY50000Gth,1900
DEBE3D04YY5000026V,1900
DEBE3D04YY50000Lir,1900
DEBE3D04YY50000AF7,1900
DEBE3D04YY50000MQx,1900
DEBE3D04YY50002bXH,1900
DEBE3D04YY50000OQA,1925
DEBE3D04YY50000Pvi,1925
DEBE3D04YY50000RNm,1925
DEBE3D04YY50000656,1925
DEBE3D04YY50000M6k,1925
DEBE3D04YY50000CxY,1925
DEBE3D04YY50000Fli,1925
DEBE3D04YY50002cRL,1925
DEBE3D04YY50000BJ8,1925
DEBE3D04YY500004VR,1925
DEBE3D04YY50000RLu,1925
DEBE3D04YY50000CeB,1925
DEBE3D04YY50000K6K,1925
DEBE3D04YY50000Qk1,1925
DEBE3D04YY50000HBS,1925
DEBE3D04YY500001B1,1955
DEBE3D04YY50002cQ8,1955
DEBE3D04YY5000096c,1955
DEBE3D04YY500004uh,1955
DEBE3D04YY500009gW,1955
DEBE3D04YY500004k1,1955
DEBE3D04YY50000DUK,1955
DEBE3D04YY50000EDa,1955
DEBE3D04YY50000OVV,1955
DEBE3D04YY50000NIM,1955
DEBE3D04YY5000087h,1955
DEBE3D04YY50000A5T,1905
DEBE3D04YY500003iH,1905
DEBE3D04YY5000024G,1905
DEBE3D04YY50000RFq,1905
DEBE3D04YY50000Pa5,1905
DEBE3D04YY500006xH,1905
DEBE3D04YY50000Hwb,1905
DEBE3D04YY50000FwN,1905
DEBE3D04YY50000FPK,1905
DEBE3D04YY500006HB,1905
DEBE3D04YY500004G4,1905
DEBE3D04YY50000Rgg,1905
DEBE3D04YY50000B0s,1905
DEBE3D04YY50000OgZ,1900
DEBE3D04YY50000HI4,1900
DEBE3D04YY50000GFg,1900
DEBE3D04YY50000F6c,1900
DEBE3D04YY5000099k,1925
